Work ID,Work Category,Work Title,State,IDA (Nodal Agency),Hon'ble MP,Constituency,Work Description,Recommended Date,Sanction Date,Sanction Amount (INR),Disbursed Amount (INR),Vendor Name,Expenditure Date,Work Status
WS/ MP620/2024-2025/133166,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,08-Jul-2024,09-Jul-2024,497185.0,0.0,,,Physical Inspection
WS/ MP620/2025-2026/133167,Trust and Society,Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,08-Jul-2024,18-Sep-2025,500000.0,0.0,,,Sanction
WS/ MP620/2024-2025/133190,Trust and Society,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,08-Jul-2024,23-Sep-2024,450000.0,0.0,,,Sanction
WS/ MP620/2025-2026/133191,Normal/Others,Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,08-Jul-2024,29-May-2025,1500000.0,0.0,,,Work partially Completed
WS/ MP620/2024-2025/133301,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",09-Jul-2024,22-Aug-2024,398009.0,0.0,,,Physical Inspection
WS/ MP620/2024-2025/133303,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,09-Jul-2024,25-Jul-2024,399104.0,0.0,,,Physical Inspection
WS/ MP620/2024-2025/133304,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,09-Jul-2024,22-Aug-2024,396154.0,0.0,,,Physical Inspection
WS/ MP620/2025-2026/133305,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,09-Jul-2024,03-Jun-2025,400000.0,0.0,,,Sanction
WS/ MP620/2024-2025/133306,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,09-Jul-2024,14-Mar-2025,495627.0,0.0,,,Physical Inspection
WS/ MP620/2024-2025/133307,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,09-Jul-2024,17-Aug-2024,398955.0,0.0,,,Physical Inspection
WS/ MP620/2024-2025/133308,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,09-Jul-2024,17-Aug-2024,399304.0,0.0,,,Physical Inspection
WS/ MP620/2024-2025/133309,Normal/Others,Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,09-Jul-2024,14-Mar-2025,495031.0,0.0,,,Physical Inspection
